{(1,245,17),
(2,18,18),
(3,9,8),
(4,78,7),
(5,214,19),
(6,229,10),
(7,176,12),
(8,23,12),
(9,183,17),
(10,173,13),
(11,58,17),
(12,153,5),
(13,44,6),
(14,231,12),
(15,178,6),
(16,24,16),
(17,211,16),
(18,215,15),
(19,155,16),
(20,2,13),
(21,207,16),
(22,102,5),
(23,206,12),
(24,68,9),
(25,9,10),
(26,231,13),
(27,233,14),
(28,155,17),
(29,242,18),
(30,175,14),
(31,22,15),
(32,184,15),
(33,101,12),
(34,8,12),
(35,185,18),
(36,95,12),
(37,98,6),
(38,187,20),
(39,103,18),
(40,82,7),
(41,14,5),
(42,199,13),
(43,143,8),
(44,101,12),
(45,19,18),
(46,103,5),
(47,162,11),
(48,239,19),
(49,79,5),
(50,16,7),
(51,73,7),
(52,118,6),
(53,70,13),
(54,10,14),
(55,228,17),
(56,123,13),
(57,214,20),
(58,139,17),
(59,12,13),
(60,118,12),
(61,154,19),
(62,136,6),
(63,52,6),
(64,180,6),
(65,172,16),
(66,23,18),
(67,221,12),
(68,213,19),
(69,87,13),
(70,213,9),
(71,19,17),
(72,86,12),
(73,61,20),
(74,172,19),
(75,136,13),
(76,58,17),
(77,138,16),
(78,201,12),
(79,12,7),
(80,64,19),
(81,231,6),
(82,221,12),
(83,212,7),
(84,112,6),
(85,235,13),
(86,193,10),
(87,182,8),
(88,226,15),
(89,191,20),
(90,85,17),
(91,74,8),
(92,188,8),
(93,20,15),
(94,123,8),
(95,227,16),
(96,47,18),
(97,143,14),
(98,31,14),
(99,28,14),
(100,150,17),
(101,31,7),
(102,236,13),
(103,72,17),
(104,241,9),
(105,1,12),
(106,206,6),
(107,76,12),
(108,23,20),
(109,116,15),
(110,69,16),
(111,135,12),
(112,76,10),
(113,110,18),
(114,207,16),
(115,70,8),
(116,128,13),
(117,52,15),
(118,123,6),
(119,11,16),
(120,234,18),
(121,18,14),
(122,153,9),
(123,132,11),
(124,124,16),
(125,232,8),
(126,186,12),
(127,43,12),
(128,157,11),
(129,6,9),
(130,30,8),
(131,195,14),
(132,105,12),
(133,70,8),
(134,139,16),
(135,88,9),
(136,22,13),
(137,74,20),
(138,108,17),
(139,175,19),
(140,184,18),
(141,38,18),
(142,226,7),
(143,246,14),
(144,87,14),
(145,187,12),
(146,228,17),
(147,179,7),
(148,134,9),
(149,43,10),
(150,10,8),
(151,82,10),
(152,185,17),
(153,245,16),
(154,110,16),
(155,41,13),
(156,116,9),
(157,127,17),
(158,118,14),
(159,167,19),
(160,37,8),
(161,208,10),
(162,73,6),
(163,92,7),
(164,120,7),
(165,249,7),
(166,143,19),
(167,100,12),
(168,121,10),
(169,247,6),
(170,138,6),
(171,163,15),
(172,235,5),
(173,236,6),
(174,233,20),
(175,156,17),
(176,215,19),
(177,47,10),
(178,226,8),
(179,128,16),
(180,72,12),
(181,68,11),
(182,198,7),
(183,219,11),
(184,8,17),
(185,78,12),
(186,45,19),
(187,194,16),
(188,30,7),
(189,226,15),
(190,157,7),
(191,10,12),
(192,112,15),
(193,249,8),
(194,133,17),
(195,180,15),
(196,26,17),
(197,74,20),
(198,87,18),
(199,77,9),
(200,205,20),
(201,146,12),
(202,88,8),
(203,34,20),
(204,22,14),
(205,88,12),
(206,7,9),
(207,216,20),
(208,209,19),
(209,193,15),
