{(1,37,13),
(2,55,18),
(3,44,19),
(4,44,7),
(5,62,13),
(6,19,11),
(7,71,13),
(8,91,12),
(9,52,13),
(10,2,5),
(11,10,10),
(12,88,9),
(13,31,20),
(14,97,17),
(15,29,6),
(16,98,6),
(17,67,12),
(18,39,18),
(19,40,10),
(20,100,8),
(21,58,20),
(22,65,9),
(23,15,13),
(24,62,8),
(25,82,14),
(26,15,12),
(27,37,9),
(28,59,18),
(29,65,19),
(30,13,9),
(31,71,8),
(32,14,20),
(33,35,10),
(34,53,11),
(35,35,17),
(36,71,14),
(37,80,13),
(38,27,16),
(39,64,13),
(40,8,12),
(41,60,5),
(42,24,9),
(43,53,11),
(44,6,7),
(45,64,14),
(46,31,20),
(47,40,13),
(48,52,18),
(49,87,8),
(50,95,19),
(51,54,7),
(52,15,19),
(53,65,16),
(54,99,16),
(55,24,13),
(56,43,12),
(57,60,6),
(58,11,5),
(59,12,17),
(60,57,14),
(61,47,5),
(62,12,18),
(63,88,15),
(64,31,13),
(65,77,15),
(66,71,12),
(67,26,6),
(68,100,6),
(69,4,10),
(70,65,14),
(71,59,6),
(72,80,13),
(73,26,9),
(74,26,10),
(75,87,15),
(76,15,15),
(77,42,19),
(78,73,18),
(79,82,11),
(80,37,9),
(81,26,16),
(82,10,18),
(83,11,19),
(84,40,12),
(85,48,13),
(86,70,20),
(87,55,16),
(88,60,18),
(89,2,12),
(90,33,14),
(91,57,17),
(92,10,13),
(93,97,12),
(94,37,14),
(95,65,16),
(96,4,7),
(97,88,16),
(98,71,11),
(99,71,10),
(100,60,18),
(101,79,16),
(102,92,8),
(103,98,19),
(104,19,13),
(105,10,6),
(106,6,9),
(107,97,14),
(108,97,18),
(109,67,19),
(110,71,12),
(111,16,5),
(112,19,7),
(113,55,13),
(114,31,16),
(115,42,12),
(116,24,17),
(117,39,9),
(118,19,5),
(119,14,18),
(120,47,7),
(121,2,18),
(122,35,5),
(123,12,17),
(124,18,6),
(125,95,19),
(126,64,19),
(127,65,16),
(128,66,17),
(129,97,6),
(130,100,13),
(131,40,11),
(132,26,5),
(133,95,20),
(134,31,5),
(135,24,17),
(136,82,7),
(137,30,9),
(138,4,12),
(139,24,8),
(140,27,16),
(141,47,7),
(142,58,16),
(143,34,15),
(144,92,19),
(145,27,11),
(146,66,13),
(147,72,9),
(148,26,14),
(149,58,18),
(150,73,7),
(151,44,19),
(152,46,20),
(153,57,14),
(154,71,16),
(155,79,6),
(156,80,17),
(157,46,20),
(158,90,6),
(159,52,18),
(160,95,17),
(161,79,16),
(162,14,11),
(163,37,8),
(164,91,19),
(165,4,15),
(166,99,19),
(167,54,17),
(168,52,12),
(169,99,11),
(170,98,10),
(171,40,11),
(172,57,13),
(173,47,8),
(174,90,15),
(175,18,5),
(176,26,14),
(177,31,16),
(178,35,11),
(179,91,18),
(180,2,11),
(181,91,16),
(182,8,9),
(183,53,7),
(184,59,7),
(185,47,9),
(186,47,11),
(187,8,14),
(188,66,16),
(189,6,5),
(190,43,17),
(191,8,13),
(192,34,6),
(193,93,5),
(194,30,12),
(195,33,10),
(196,6,10),
(197,36,16),
(198,46,19),
(199,79,6),
(200,16,20),
(201,37,15),
(202,27,19),
(203,13,12),
(204,35,13),
(205,82,17),
(206,2,10),
(207,55,13),
(208,62,9),
(209,87,14),
(210,30,9),
(211,82,11),
(212,93,12),
(213,98,17),
(214,14,9),
(215,22,10),
(216,8,14),
(217,30,10),
(218,72,17),
(219,33,19),
(220,93,16),
(221,48,7),
(222,80,13),
(223,37,9),
(224,8,8),
(225,27,17),
(226,92,6),
(227,39,7),
(228,64,11),
(229,8,19),
(230,29,5),
(231,19,13),
(232,77,16),
(233,22,5),
(234,90,16),
(235,87,18),
(236,34,18),
(237,29,19),
(238,92,17),
(239,15,13),
(240,36,17),
(241,22,8),
(242,19,12),
(243,59,15),
(244,52,20),
(245,6,10),
(246,70,17),
(247,36,5),
(248,72,14),
(249,19,8),
(250,82,7),
(251,12,14),
(252,70,13),
(253,97,12)}
